flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,ticket_no,flight_id,fare_conditions,amount,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,5432079221,36094,business,99800.00,ticket_no,flight_id,boarding_no,seat_no,ticket_no,book_ref,passenger_id,passenger_name,contact_data
136755,PG0480,2017-01-21T09:25:00Z,2017-01-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-21T09:30:00Z,2017-01-21T10:20:00Z,5432375257   ,136755,Economy,6300.00,,,,,,,,,,,,,,5432375257   ,136755,33,4E,5432375257   ,AAFE07,1370 224987,passenger_name,contact_data
136757,PG0480,2017-01-27T09:25:00Z,2017-01-27T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-27T09:30:00Z,2017-01-27T10:19:00Z,5432375426   ,136757,Economy,6300.00,,,,,,,,,,,,,,5432375426   ,136757,83,4E,5432375426   ,0DB96A,8076 741793,passenger_name,contact_data
136620,PG0480,2017-02-17T09:25:00Z,2017-02-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-17T09:30:00Z,2017-02-17T10:19:00Z,5432376155   ,136620,Economy,6300.00,,,,,,,,,,,,,,5432376155   ,136620,57,4E,5432376155   ,789C67,2163 864659,passenger_name,contact_data
136669,PG0480,2017-01-17T09:25:00Z,2017-01-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-17T09:26:00Z,2017-01-17T10:17:00Z,5432374871   ,136669,Economy,6300.00,,,,,,,,,,,,,,5432374871   ,136669,80,4F,5432374871   ,CA1EC6,4405 801811,passenger_name,contact_data
136755,PG0480,2017-01-21T09:25:00Z,2017-01-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-21T09:30:00Z,2017-01-21T10:20:00Z,5432375135   ,136755,Economy,6300.00,,,,,,,,,,,,,,5432375135   ,136755,29,4F,5432375135   ,A87983,2660 307484,passenger_name,contact_data
136900,PG0480,2017-02-01T09:25:00Z,2017-02-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-01T09:30:00Z,2017-02-01T10:21:00Z,5432375517   ,136900,Economy,6300.00,,,,,,,,,,,,,,5432375517   ,136900,67,4F,5432375517   ,E7E939,3690 744370,passenger_name,contact_data
136609,PG0480,2017-01-08T09:25:00Z,2017-01-08T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-08T09:28:00Z,2017-01-08T10:18:00Z,5432318471   ,136609,Economy,6300.00,,,,,,,,,,,,,,5432318471   ,136609,79,4F,5432318471   ,68ED26,7827 318485,passenger_name,contact_data
136922,PG0480,2017-02-11T09:25:00Z,2017-02-11T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-11T09:27:00Z,2017-02-11T10:17:00Z,5432375881   ,136922,Economy,6300.00,,,,,,,,,,,,,,5432375881   ,136922,22,4F,5432375881   ,FBC457,2571 099558,passenger_name,contact_data
136649,PG0480,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,5432319063   ,136649,Economy,6300.00,,,,,,,,,,,,,,5432319063   ,136649,33,4F,5432319063   ,80DD3F,7866 684705,passenger_name,contact_data
136571,PG0480,2017-01-25T09:25:00Z,2017-01-25T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-25T09:28:00Z,2017-01-25T10:18:00Z,5432319305   ,136571,Economy,6300.00,,,,,,,,,,,,,,5432319305   ,136571,21,4F,5432319305   ,4E89DA,8223 375709,passenger_name,contact_data
